"","egal1","egal2","egal3","egal","indiv1","indiv2","indiv3","indiv","hier1","hier2","hier3","hier","fatal1","fatal2","fatal3","fatal","nep2","nep3","nep6","nepScale","ideology","partisan","happening","risk","sciconsensus","IntAgree","Renew","Nuclear","Tax","EPA","CapTrade","GeoEng"
"1028",4,6,5,5,4,3,6,4,4,4,4,4,4,4,4,4,6,5,6,5,4,4,0,7,1,5,7,3,4,6,4,6
"1029",5,5,4,5,4,4,6,5,6,5,6,6,4,1,4,3,7,5,7,5,6,4,2,7,1,7,7,1,7,7,7,7
"1030",4,7,4,5,2,3,1,2,5,2,4,4,3,2,2,2,7,6,7,6,2,2,4,10,1,6,7,6,6,6,6,7
"1031",7,7,7,7,4,6,7,6,5,4,5,5,7,5,5,6,7,7,7,7,2,1,4,10,1,7,7,4,7,7,7,7
"1032",6,7,7,7,5,4,5,5,4,4,5,4,3,5,3,4,6,7,7,6,1,1,4,10,1,7,7,5,7,7,7,5
"1033",2,7,3,4,4,3,6,4,4,1,2,2,5,2,3,3,7,4,7,5,4,2,4,8,0,7,7,3,7,6,2,6
"1034",5,4,6,5,3,4,4,4,3,4,3,3,4,5,5,5,7,7,7,6,1,1,4,9,1,7,7,1,7,7,5,5
"1035",6,NA,5,NA,6,3,2,4,2,1,6,3,4,NA,1,NA,6,7,7,5,1,1,4,10,1,7,7,5,7,6,4,5
"1036",6,NA,7,NA,NA,1,2,NA,3,2,1,2,1,1,2,1,7,7,7,7,1,1,4,10,1,7,7,2,7,NA,7,7
"1037",6,5,6,6,6,5,5,5,2,2,2,2,2,3,6,4,6,7,7,6,1,2,4,8,1,7,7,5,7,7,7,7
"1038",7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,6,1,1,10,0,7,7,7,7,7,7,7
"1039",4,7,7,6,6,7,3,5,7,3,5,5,6,7,7,7,5,7,2,4,5,2,2,8,0,2,6,6,6,2,2,6
"1040",5,4,3,4,4,4,5,4,6,3,3,4,3,4,3,3,5,2,6,4,4,2,3,8,1,6,7,4,6,6,5,6
"1041",4,4,3,4,5,4,5,5,5,6,6,6,4,3,4,4,5,4,5,4,5,2,0,5,0,4,6,4,4,5,4,5
"1042",4,6,6,5,4,5,2,4,3,6,3,4,2,5,3,3,6,5,6,5,5,6,2,8,1,6,7,4,4,6,5,6
"1043",5,6,6,6,6,6,6,6,6,4,5,5,2,2,2,2,7,5,6,5,5,6,2,9,0,5,7,4,5,6,5,7
"1044",3,1,2,2,6,5,5,5,5,5,5,5,3,2,1,2,6,5,5,4,5,6,2,3,1,1,7,2,4,6,1,5
"1045",3,5,4,4,3,4,3,3,4,5,5,5,3,4,2,3,6,6,7,6,7,7,3,5,0,5,7,7,5,5,5,4
"1046",2,4,2,3,5,5,5,5,5,2,5,4,2,2,2,2,5,4,2,4,6,6,-2,1,0,2,3,6,1,2,1,2
"1047",1,5,2,3,5,4,5,5,4,4,4,4,3,1,3,2,3,6,7,4,6,5,-4,2,0,1,7,1,1,1,7,7
"1048",6,6,6,6,4,5,6,5,5,4,5,5,4,4,5,4,6,6,7,5,3,4,4,10,1,7,7,1,7,7,7,6
"1049",4,5,5,5,3,4,4,4,4,3,5,4,2,3,4,3,5,4,5,4,4,4,3,7,1,5,6,3,5,5,5,5
"1050",5,5,6,5,4,5,6,5,3,3,5,4,4,3,4,4,6,6,7,5,4,4,4,10,1,7,7,4,6,7,5,6
"1051",5,5,5,5,3,5,3,4,4,4,5,4,3,5,4,4,5,4,5,4,4,4,2,5,0,5,5,3,4,5,5,5
"1052",4,4,4,4,4,4,4,4,5,3,5,4,4,3,3,3,4,5,4,4,3,4,2,5,0,5,5,4,4,4,4,4
"1053",4,4,4,4,4,4,4,4,7,4,4,5,4,4,4,4,4,4,4,4,4,4,0,5,0,4,4,4,4,4,4,4
"1054",6,4,4,5,6,6,1,4,6,6,6,6,1,6,5,4,6,1,6,4,6,4,3,9,0,4,6,1,1,6,6,6
"1055",7,6,7,7,1,1,1,1,1,1,1,1,5,5,5,5,7,7,7,6,1,2,4,10,1,5,7,1,5,7,5,5
"1056",4,7,6,6,4,4,6,5,6,4,2,4,5,4,1,3,7,4,7,6,2,1,4,10,1,7,7,1,7,7,7,7
"1057",6,6,7,6,2,3,6,4,5,4,6,5,6,5,6,6,7,7,7,6,2,1,4,9,1,4,7,2,5,7,4,4
